Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit
KRISTEN D,ARRIVAL,Port,CHEBOYGAN,2022-08-20 19:30 UTC,CHEBOYGAN,CHEBOYGAN,Not in Transit
PERULPA,ARRIVAL,Port,LAMB,2022-08-20 19:30 UTC,RUSSEL ISLAND,RUSSEL ISLAND,Not in Transit
SIRENA ASSISTANSBAT,ARRIVAL,Port,VAXHOLM,2022-08-20 19:30 UTC,VAXHOLM,VAXHOLM,Not in Transit
HELGE,DEPARTURE,Marina,CHRISTIANSMINDEVEJ,2022-08-20 19:30 UTC,-,-,Not in Transit
MCLARENS ONE,DEPARTURE,Port,GALLE,2022-08-20 19:30 UTC,-,-,Not in Transit
REPOS DOS,ARRIVAL,Marina,SANTA POLA,2022-08-20 19:30 UTC,SANTA POLA,SANTA POLA,Not in Transit
TT CETACEA 2,DEPARTURE,Port,NANTUCKET,2022-08-20 19:30 UTC,-,-,Not in Transit
MARINUS FIRST,DEPARTURE,Port,BADALONA,2022-08-20 19:30 UTC,-,-,Not in Transit
XINGU309,ARRIVAL,Port,HUANGPU,2022-08-20 19:30 UTC,HUMEN,HUMEN,Not in Transit
ZHESHENGYU62308,DEPARTURE,Port,MAJISHAN,2022-08-20 19:30 UTC,-,-,Not in Transit
SAAL,ARRIVAL,Port,DENIA,2022-08-20 19:30 UTC,DENIA,DENIA,Not in Transit
ISLAND NAGALIS,DEPARTURE,Port,POWELL RIVER,2022-08-20 19:30 UTC,-,-,Not in Transit
SHENG BANG,DEPARTURE,Port,ZHOUSHAN,2022-08-20 19:30 UTC,-,-,In Transit
HADI 24,DEPARTURE,Port,SAFANIYA,2022-08-20 19:30 UTC,-,-,Not in Transit
WIGHT SUN,ARRIVAL,Port,YARMOUTH,2022-08-20 19:30 UTC,LYMINGTON,LYMINGTON,Not in Transit
ATHARA,ARRIVAL,Port,PORTO TORRES,2022-08-20 19:30 UTC,GENOVA,GENOVA,Not in Transit
DEEP WATER,DEPARTURE,Marina,TASHMOO BOAT YARD,2022-08-20 19:30 UTC,-,-,Not in Transit
FAST CAT M18,DEPARTURE,Port,CATICLAN,2022-08-20 19:30 UTC,-,-,Not in Transit
ALMABRAVA,ARRIVAL,Port,CADIZ,2022-08-20 19:30 UTC,CADIZ,CADIZ,Not in Transit
MARIANNE H,ARRIVAL,Port,ZWOLLE,2022-08-20 19:29 UTC,NEUSS,NEUSS,Not in Transit
